=== google-t5/t5-base ===
something that caused them to wonder              etwas, das sie zu wundern                         etwas, das sie nachdenklich machen würde,         
Daddy's got you. That's all that's important.     Daddy hat dich, das ist alles, was wichtig ist.   Papa hält dich. Das ist alles, was zählt.         
I have a hard time envisioning a future           Es fällt mir schwer, mir eine Zukunft vorzustellen.Ich kann mir schwer vorstellen,                   
is in the core of our being, right?               ist im Kern unseres Seins, richtig?               im Kern unsers Seins liegt, oder?                 
in accepting this particular defeat               in der Annahme dieser besonderen Niederlage       zur Akzeptanz dieser bestimmten Niederlage        
I decided to cross during the day,                Ich entschied mich während des Tages zu überqueren,Ich entschied mich dazu, die Grenze bei Tag zu überqueren.
around these new developments.                    Diese neuen Entwicklungen.                        mit diesen neuen Entwicklungen.                   
that's the first step towards taking responsibilitydas ist der erste Schritt zur Übernahme von Verantwortungist der erste Schritt dazu, Verantwortung dafür zu übernehmen,
And that’s communication.                         Und das ist Kommunikation.                        Und das ist wahre Kommunikation.                  
that washes out the planet.                       Das wäscht den Planeten aus.                      den Strahler abblocke, der mich blendet:          
that Dioscorides first described in 65 A.D.       Dass Dioscorides erstmals in 65 A.D. beschrieben. als erstes durch Dioscorides 65 A.D.              
patterns and connections between numbers          Muster und Verbindungen zwischen Zahlen           Muster und Verbindungen zwischen den Zahlen zu sehen,
CA: That's not 30 percent a year, that's -- MS: Yes, thirty percent a year.CA: Das sind nicht 30 Prozent im Jahr, das ist -- MS: Ja, 30 Prozent im Jahr.CA: Nicht 30 % im Jahr, das... MS: Doch, 30 % im Jahr.
Well, as best we can tell, there are about two to three million disksNun, wie wir am besten sehen können, gibt es etwa zwei bis drei Millionen Disketten.Soweit wir schätzen, sind etwa drei Millionen Platten
to this elegant unification,                      zu dieser eleganten Vereinigung,                  kommt mit einem Preisschild,                      
until you realize that you very much are that woman,bis du merkst, dass du diese Frau bist,           Als ich älter wurde, akzeptierte ich,             
peer pressure used to help patients --            Gruppendruck, der Patienten geholfen hat --       Gruppenzwang, um Patienten zu helfen,             
lay out in excruciating detail, how to be better than you at checkers?in qualvollem Detail auslegen, wie man besser sein kann als Sie bei Dames?und bis ins kleinste Detail definieren, wie man sich selbst in Dame übertrifft?
there's a few people from Pakistan in here.       Hier sind ein paar Leute aus Pakistan.            es sind einige Leute aus Pakistan hier.           
to a light continent.\"                           auf einen leichten Kontinent.\"                   in einen hellen Kontinenten überführen.\"         
Their identity doesn't change.                    Ihre Identität ändert sich nicht.                 Ihre Persönlichkeit ändert sich nicht.            
CNN was saying that Palestinians were dancing in the streets.CNN sagte, dass Palästinenser auf den Straßen tanzten.CNN sagte, die Palästinenser tanzten auf der Straße.
is that if you want mass-market success or mass-market acceptance of an idea,ist das, wenn Sie Massenmarkterfolg oder Massenmarktakzeptanz einer Idee wünschen,immer fünf Sets der Ausrüstung mitnahmen,         
It's just a reality of anesthesia. The lungs can be paralyzed.Es ist nur eine Realität der Narkose, die Lungen können gelähmt werden.Das ist bei einer Narkose einfach so. Es kann zur Lähmung der Lungen kommen.
Show the state that protecting wilderness         Zeigen Sie den Zustand, dass die Wildnis schützen Der Sumpf wird Sie verändern, das verspreche ich. 
if you're going to have the privilege             wenn du das Privileg hast                         dass, wenn man das Privileg hat,                  
So, basically the \"Internet\" has two Internets. Also, im Grunde hat das \"Internet\" zwei Internets.Das Internet besteht also praktisch aus zwei Internets.
The desert's extremely windy as well as being very cold.Die Wüste ist extrem windig und auch sehr kalt.   Die meisten Leute denken, dass die Höcker Wasser speichern.
doesn't begin with ideas or facts or data.        beginnt nicht mit Ideen oder Fakten oder Daten.   nicht mit Ideen, Fakten oder Informationen beginnt.
I hope it's not over.                             Ich hoffe, es ist noch nicht vorbei.              Ich hoffe, Sie ist nicht beendet.                 
You're going to see the whole thing take place in this movie.Du wirst sehen, wie die ganze Sache in diesem Film stattfindet.Sie werden die ganze Sache im Film von statten gehen sehen.
our supply of flu and made more available,        unsere Versorgung mit Grippe und mehr zur Verfügung gestellt,verdünnen und weiter verfügbar machen können,     
this is where we need to be.                      Hier müssen wir sein.                             das ist wo wir hinkommen müssen.                  
We need to recognize just how serious             Wir müssen erkennen, wie ernst                    Wir müssen erkennen, wie ernst                    
they just add a new layer to the existing system of terror.Sie fügen dem bestehenden System des Terrors einfach eine neue Ebene hinzu.Sie fügt sich lediglich zum Dispositiv des existenten Terrors hinzu.
and the results are in:                           und die Ergebnisse sind in:                       Nun liegen Ergebnisse vor:                        
Why wouldn't they just go to a shop and buy a bag of nutsWarum sollten sie nicht einfach in einen Laden gehen und eine Tüte Nüsse kaufen?Warum gehen sie nicht einfach in einen Laden und kaufen eine Tüte Nüsse,
that maybe there is many more possibilities       dass es vielleicht noch viele weitere Möglichkeiten gibtdass es vielleicht viel mehr Möglichkeiten gibt   
I had woven carbon fiber sprinting legs           Ich hatte gewebte Carbonfaser sprinting Beine     Ich hatte Sprintbeine aus gewebten Kohlenstofffasern,
And then 10 years later everything changed.       Und 10 Jahre später änderte sich alles.           Und 10 Jahre später, änderte sich alles.          
The processing, of course, begins with the eyes.  Die Verarbeitung beginnt natürlich mit den Augen. Der Prozess beginnt natürlich bei den Augen.      
and then here we are in the deep ocean,           und dann sind wir hier im tiefen Ozean,           die den menschlichen Geist erhellen können.       
with the digital information                      mit den digitalen Informationen                   mit den digitalen Informationen interagieren      
sort of loosely attached, so it could spin by itself.Art von lose befestigt, so dass es von selbst drehen konnte.locker befestigt war, damit es sich allein drehen konnte.
They don’t. Their mothers don’t say to little baby fish,Ihre Mütter sagen nicht zu kleinen Babyfischen,   Das tun sie nicht. Ihre Mütter sagen nicht zum kleinen Babyfisch,
In 1949 we saw the emergence of the modern China  1949 sahen wir die Entstehung des modernen China  1949 sahen wir die Entstehung des modernen Chinas 
that memory is still in people's minds.           Diese Erinnerung ist immer noch in den Köpfen der Menschen.ist bis heute im Gedächtnis der Menschen präsent. 
And this is all about darkness                    Und hier geht es nur um Dunkelheit.               Sie haben diesen Schatten,                        
From China to Brazil, these projects attempt      Von China bis Brasilien versuchen diese Projekte  Von China bis Brasilien versuchen diese Projekte, 
where we decide how we want to treat it.          wo wir entscheiden, wie wir es behandeln wollen.  in dem wir entscheiden, wie wir sie behandeln wollen.
all the way to your deathbed,                     bis zu deinem Sterbebett,                         um noch ein paar Spiele zu spielen.               
or for some reason we can't take them down.       oder aus irgendeinem Grund können wir sie nicht ausschalten.oder wir können sie aus anderen Gründen nicht zur Rechenschaft ziehen.
George was actually an alcoholic when they married, and Mary knew it.George war eigentlich Alkoholiker, als sie heirateten, und Mary wusste es.als sie sich zum ersten Mal trafen.               
and, I would say, nakedness,                      und, würde ich sagen, Nacktheit,                  und, würde ich sagen, Nacktheit,                  
but enough to do an unbelievable amount of damage.aber genug, um eine unglaubliche Menge an Schaden zu verursachen.aber genug, um einen unglaublichen Schaden anzurichten.
people who are attracted to the ritualistic side, Menschen, die von der rituellen Seite angezogen werden,Menschen, die sich zur rituellen Seite hingezogen fühlen,
actually have the capability or the interest in going under the watertatsächlich die Fähigkeit oder das Interesse haben, unter das Wasser zu gehenbesitzt die Fähigkeiten oder das Interesse um unterzutauchen
from neurons in the fly's brain while the fly     von Neuronen im Gehirn der Fliege während der Fliegeim Gehirn der Fliege aufzeichnen –                
are early detection, early intervention.          sind Früherkennung, frühzeitige Intervention.     sind Früherkennung, schnelles Gegensteuern.       
and I won't go through them all --                Und ich werde nicht alle durchgehen...            wir sagen ihr nicht, was passieren wird           
It's because I didn't have a self to get in the way.Weil ich kein Selbst hatte, um in die Quere zu kommen.Das war, weil ich kein Selbst hatte, was dazwischen war.
What I would suggest is that if you want to see   Was ich vorschlagen würde, ist, dass, wenn Sie sehen wollenAlso, was ich vorschlagen würde, wenn Sie sehen möchten,
and she sat there with this penguin, the penguin's flapping, and she let's it go.Und sie saß da mit diesem Pinguin, der flattert, und sie ließ es los.und sie saß da mit diesem Pinguin, der Pinguin flatterte und sie ließ ihn los.
that is helping us, not only finally with evaluation, assessing what works.Das hilft uns nicht nur bei der Bewertung, sondern auch bei der Beurteilung, was funktioniert.Wir gestalteten Chemie und Physik neu.            
It's really difficult. So we're still having to rely onEs ist wirklich schwierig, also müssen wir uns immer noch darauf verlassen.Das ist sehr schwierig. Also müssen wir uns da noch
And he became interested in that.                 Und er wurde daran interessiert.                  Asanga wurde neugierig.                           
to move things around and interact with us        Dinge zu bewegen und mit uns zu interagieren      vom Bildschirm in die physische Welt bringen kann, in der wir leben.
and I won't read them for you.                    Und ich werde sie nicht für dich lesen.           und ich werde sie Ihnen auch nicht vorlesen.      
It's the whole planet,                            Es ist der ganze Planet.                          Es ist der ganze Planet,                          
getting a better version                          eine bessere Version bekommen                     nach einer besseren Version des                   
This is one of the jackets you grew?              Ist das eine der Jacken, die du gewachsen bist?   Dies ist eine der Jacken aus deinem Anbau?        
Seven is prime because it's 1 x 7,                Sieben ist die Primzahl, weil es 1 x 7 ist.       7 ist prim, weil 1 x 7 = 7,                       
And so this green dot up here is a driver assistance system.Und dieser grüne Punkt hier oben ist ein Fahrerassistenzsystem.Aber sehen wir es einmal anders.                  
And now who in this room doesn't know a 14 year-oldUnd wer in diesem Raum keinen 14-Jährigen kennt   Und wer hier in diesem Raum kennt nicht eine 14-jährige,
There you go. That's connection.                  Das ist eine Verbindung.                          Da haben Sie's. Das ist Verbundenheit.            
that they would not tell their preacher or rabbi, daß sie weder ihrem Prediger noch ihrem Rabbiner sagten:die sie nicht einmal ihrem Priester oder Rabbi erzählen würde,
and yet, out of people’s desire for a global ethicund doch, aus dem Wunsch nach einer globalen Ethik herausdoch kann dies durch den Wunsch der Menschen nach einer globalen Ethik
We can begin to sculpt the form.                  Wir können anfangen, die Form zu formen.          Wir können anfangen, das Objekt auszuformen.      
plus the influence of Joe and others. We started One Laptop per Child.plus den Einfluss von Joe und anderen. Wir starteten einen Laptop pro Kind.plus der Einfluss von Joe und anderen. Wir starteten das Projekt \"Ein Laptop pro Kind“.
He started showing the symptoms about 12 years ago,Er fing an, die Symptome vor etwa 12 Jahren zu zeigen,Vor ungefähr zwölf Jahren zeigten sich die ersten Symptome,
Now it's not about the leader anymore;            Jetzt geht es nicht mehr um den Anführer.         es geht um sie, Plural.                           
They depend on us for their survival.             Sie sind auf uns angewiesen, weil sie überleben.  Wir haben hier eine Menge von glücklichen Zusammentreffen.
I didn't have the courage to tell him in that moment that,Ich hatte nicht den Mut, es ihm in diesem Moment zu sagen.Ich hatte in diesem Moment nicht den Mut, ihm zu sagen,
and the 2,000 or so nuclear bombs                 und die etwa 2.000 Atombomben                     und den rund 2000 Atombomben                      
It takes lots of experience to learn how to care for people.Es braucht viel Erfahrung, um zu lernen, wie man sich um Menschen kümmert.Es bedarf viel Erfahrung zu lernen wie man für Menschen sorgt.
I'm sorry to be the bearer of bad news, but somebody has to be.Tut mir leid, dass ich schlechte Nachrichten überbringen muss, aber jemand muss es sein.Es tut mir leid, dass ich diese schlechte Nachricht überbringen muss, aber irgendwer muss es ja tun.
And most of the imagery is --                     Und die meisten Bilder sind --                    Der Großteil der Bildsprache ist —                
BLEU score: 22.181870171718106

=== facebook/nllb-200-distilled-600M ===
source                                            translation                                       reference                                         
to the atom that it hits.                         auf das Atom, das es trifft.                      vom Atom, auf welches er trifft.                  
People are more likely to support the use         Die Menschen unterstützen die Verwendung von      Die Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,Deshalb in Verhandlungen, oft, wenn die Dinge schwierig werden,und ihn wie einen Freund zu behandeln,            
why the buildings failed.                         Warum die Gebäude scheiterten.                    warum die Gebäude nicht standhielten.             
We have confusion about what we should think about a new technology.Wir sind verwirrt, was wir über eine neue Technologie denken sollten.Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people            So wie das und zeigen Menschen                    wie hier zu sehen ist, und den Menschen           
and I professionally watch YouTube videos.        Und ich schaue professionell YouTube-Videos an.   Beruflich schaue ich mir YouTube-Videos an.       
we lived for all those years,                     Wir haben all diese Jahre gelebt.                 lebten wir all die Jahre,                         
GH: Oh, D and F -- too familiar.                  GH: Oh, D und F -- zu vertraut.                   Nun, sie hat C, G, H, A, E ausgesucht.            
which is around 12,000 years old.                 Das ist etwa 12.000 Jahre alt.                    der etwa 12000 Jahre alt ist.                     
It was no big deal, but it was a latrine.         Es war keine große Sache, aber es war eine Toilette.Es war nichts Besonderes, aber es war eine Latrine.
Even in the midst of terrible destruction and death and chaos,Selbst inmitten der schrecklichen Zerstörung, des Todes und des Chaos,Sogar inmitten schrecklicher Zerstörung, Tod und Chaos,
to all the bright and dazzly things,              und zu allen leuchtenden und strahlenden Dingen,  all die hellen und begeisternden Dinge,           
they even do little stunts.                       Sie machen sogar kleine Stunts.                   dass sie sogar kleine Stunts machen.              
And the list looked something like this a little while ago.Und die Liste sah vor einiger Zeit so aus.        Und die Liste sah vor kurzem in etwa so aus.      
but also as a political program.                  Die Kommission hat sich in diesem Zusammenhang mit der Frage dersondern auch als politisches Programm.            
comes straight down from the mushroom cloud that goes up.kommt direkt aus der Pilzwolke, die aufsteigt.    direkt vom Atompilz runter kommt.                 
Nothing with a face Monday through Friday.        Nichts mit einem Gesicht von Montag bis Freitag.  Nichts mit einem Gesicht von Montag bis Freitag.  
of all other forms of life combined.              Alle anderen Lebensformen zusammen.               aller anderen Lebewesen zusammen.                 
And the story of the Intermittent Absorption Refrigerator.Und die Geschichte des Intermittenten Absorptionskühlers.Es sind zwei Bereiche, durch Abstand getrennt sind.
\"Moon is one with God.                           "Der Mond ist eins mit Gott.                      \"Moon ist eins mit Gott.                         
Take the goggles off. Take the goggles off!       Nehmen Sie die Brille aus!                        Nimm die Schwimmbrille ab. Nimm die Schwimmbrille ab!
The Temple of Dendur at the Metropolitan in New York -- it's a very somber place.Der Tempel von Dendur in der Metropolitan in New York ist ein sehr düsterer Ort.Der Tempel von Dendur im Metropolitan in New York -- ein sehr trister Ort.
but they use those same wings to flip over        Aber sie benutzen dieselben Flügel, um sich umzukehren.aber sie benutzen dieselben Flügel, um sich umzudrehen
totally trying to capture what cinema is for me,  Ich versuche, zu erfassen, was Kino für mich ist. versucht wirklich total einzufangen, was Kino für mich bedeutet,
to be a worthless artifact.                       Es ist ein wertloses Artefakt.                    als wertlose Artefakte betrachtete.               
and they weren't going to let anyone              Und sie wollten niemandem erlauben,               und sie würden sie sich von niemandem             
to mimic a movement or a facial expression,       eine Bewegung oder einen Gesichtsausdruck nachzuahmen,eine Bewegung oder einen Gesichtsausdruck zu imitieren,
a giant mushroom.                                 Ein riesiger Pilz.                                ein riesiger Pilz.                                
and share ideas for free.\"                       und freie Ideen teilen".                          und Ideen austauschen, umsonst.\"                 
the U.S. Navy had a system that was secret at the time,Die US-Marine hatte damals ein geheimes System.   verfügte die US-Marine über ein zu der Zeit geheimes System
We had about 20 people who made donations --      Wir hatten etwa 20 Leute, die Spenden machten.    Wir hatten etwa 20 Leute, welche Geld gespendet hatten --
watching the people going to work,                und die Leute zu arbeiten sehen.                  zu sehr ähnelten.                                 
it’s famous for its [beach] volleyball courts,    Es ist berühmt für seine [Strand] Volleyballplätze,der berühmt ist für seine Volleyballfelder        
digitally enabled and transparent,                digital gestaltet und transparent,                digital besser ausgestattet und transparenter,    
I'm going to give you a little clue.              Ich gebe dir einen kleinen Hinweis.               gebe ich Ihnen einen kleinen Hinweis.             
and so it bolsters the colony health and their social immunity.und so stärkt es die Gesundheit der Kolonie und ihre soziale Immunität.Auf diese Weise wird die Gesundheit und soziale Sicherheit des Bienenvolks gestärkt.
and it actually sleeps four people.               Und es schläft eigentlich vier Leute.             können vier Leute darin schlafen.                 
I'll tell you: 158.                               Ich sage dir: 158.                                Ich verrate es Ihnen: 158.                        
Here you see, with felt and paper water bottles,  Hier sehen Sie, mit Filz und Papier Wasserflaschen,Hier sehen wir, mit Filz, Papier und Wasserflaschen,
So, we were talking about the differences         Also, wir sprachen über die Unterschiede          Also haben wir über die Unterschiede              
It's so unpredictable                             Es ist so unberechenbar.                          Es ist so unberechenbar                           
that the West still leads in terms of technological innovation.Die Kommission hat sich in diesem Zusammenhang mit der Frage der Entwicklung der Technologie befaßt.dass der Westen immer noch im Bereich technologischer Innovationen führend ist.
So right now, in my lab, we're combining          Also gerade in meinem Labor kombinieren wir       In meinem Labor kombinieren wir gerade zwei Methoden,
that in the next 10 years                         dass in den nächsten 10 Jahren                    dass in den nächsten 10 Jahren                    
This has been replicated over and over again      Das wurde immer wieder wiederholt.                Diese bedingten Motivatoren --                    
and we're the caterpillars                        Und wir sind die Katerpilzen.                     und wir sind die Raupen,                          
the dog is a surrogate for you,                   Der Hund ist ein Leihmutter für dich.             der Hund ein Stellvertreter für Sie ist,          
nothing would have happened.                      Es wäre nichts passiert.                          Die Beziehung war eins-zu-eins.                   
not for use in patients.                          nicht für den Einsatz bei Patienten.              nicht zur Anwendung bei Patienten.                
And they actually use the Nintendo Wii Remote.    Und sie benutzen tatsächlich den Nintendo Wii Remote.die in letzter Zeit viel Aufmerksamkeit bekommen haben
we are polluting so much                          Wir verschmutzen so viel.                         verursachen wir so viel Verschmutzung,            
the girl means to mean,                           Das Mädchen meint,                                Das Mädchen meint zu meinen,                      
and 18 of those are bats.                         Und 18 davon sind Fledermäuse.                    18 davon sind Fledermäuse.                        
and you need a controller,                        Und du brauchst einen Steuergerät.                und man braucht Steuerung.                        
who had studied the old Vatican mosaic techniques,die die alten Vatikanischen Mosaiktechniken studiert hatten,die die alten vatikanischen Mosaiktechniken studiert hat,
hundreds of thousands of DNA samples from people all over the world.\"Hunderttausende DNA-Probe von Menschen auf der ganzen Welt".und hunderttausende DNA-Proben aus der ganzen Welt sammeln.
you can lower their demand for oxygen,            Sie können ihren Sauerstoffbedarf senken,         und wir sollten das auf eine größere Spielwiese bringen.\"
One of the things I'm pointing out is that        Eine der Dinge, auf die ich hinweist, ist, dass   Ich will darauf hinaus,                           
Look around the room: chairs, wood,               Schauen Sie sich den Raum um: Stühle, Holz,       Sehen Sie sich hier im Raum um, Stühle, Holz.     
So a tremendous fund of knowledge                 Also ein riesiger Wissensfonds                    Ein unglaublicher Wissensvorrat,                  
is to reconcile three time scales:                ist es, drei Zeitskalien zu vereinbaren:          und die langfristige Entwicklung der Umwelt.      
They just make it [with] nuts or something.       Sie machen es einfach mit Nüssen oder so.         Die bereiten es mit Nüssen oder sowas zu.         
vanish in my face.                                Ich habe mich in meinem Gesicht verschwendet.     vor meinen Augen verschwinden.                    
That was why I put it as a single point up there. Deshalb habe ich es als einen Punkt oben gestellt.Darum habe ich sie hier als einzelnen Punkt.      
It is, I agree, a nice thing to do.               Es ist, ich stimme zu, eine nette Sache zu tun.   Es ist, das gebe ich zu, ein nettes Projekt.      
that has been shuttle loomed                      die mit dem Shuttle gefahren ist.                 die schussgewebt wurde                            
They're originally from Crete. They're a seafaring people.Sie kommen ursprünglich aus Kreta, sind Seeleute. Sie kommen ursprünglich aus Kreta. Sie sind ein seefahrendes Volk.
and criminals are actually calling Tide \"liquid gold.\"Und Kriminelle nennen Tide tatsächlich "flüssiges Gold".Verbrecher nennen Tide tatsächlich \"flüssiges Gold\".
Chinese is always cheating, right?                Chinesen betrügen immer, oder?                    Die Chinesen betrügen immer, nicht?               
And you've all got an idea in your head of the answer.Und ihr habt alle eine Idee in eurem Kopf für die Antwort.Und sie alle haben eine Vorstellung von der Antwort im Kopf.
And for those who want to see more, I've got my book downstairs in the bookshop.Und für diejenigen, die mehr sehen wollen, habe ich mein Buch unten im Buchladen.Und für diejenigen, die mehr sehen wollen, mein Buch gibt es unten im Buchladen.
It turns out that approximately 200 million CAPTCHAsEs stellt sich heraus, dass etwa 200 Millionen CAPTCHAetwa 200 Millionen CAPTCHAs                       
And watching that videotape later that day        Und an diesem Tag sah ich das Video.              Und mir dieses Videoband später an jenem Tag anzusehen,
I'm showing it because --                         Ich zeige es Ihnen, weil...                       Ich zeige es, weil                                
our most prolific photographer has taken around 350 photos,Unser erfolgreichster Fotograf hat 350 Fotos gemacht.den produktivsten Fotografen mit ungefähr 350 Fotos
who has androgen insensitivity syndrome.          der Androgen-Unempfindlichkeitssyndrom hat.       und einen Androgenrezeptor-Defekt hat.            
understanding how the brain controls movement?    das Verständnis, wie das Gehirn Bewegung steuert? zu verstehen, wie das Gehirn Bewegung kontrolliert?
and I couldn't really find the answers I was looking for,und ich konnte die Antworten nicht finden, die ich suchte.fand aber nicht das, wonach ich eigentlich suchte.
because she came back --                          Weil sie zurückkam...                             denn sie schlug zurück -                          
very simple language, beautifully typeset.        Eine sehr einfache Sprache, wunderschön geschrieben.wenn eine dieser überbewerteten Personen erwähnt wird. (Lachen)
So wouldn't it be amazing if our phones           Wäre es nicht erstaunlich, wenn unsere Telefone   Wäre es nicht erstaunlich, wenn unsere Telefone   
and I felt like I happened upon                   Und ich fühlte mich wie ich passiert              Und es kam mir vor, als ob ich zufällig auf       
drilled a hole in the back of the pipe, took some of our firecrackers,Wir haben ein Loch im Rücken der Rohre gebohrt, einige unserer Feuerwerkskörper genommen.bohrten ein Loch in die Rückseite des Rohres, nahmen einige unserer Knallkörper,
So, there's all kinds of bacteria on the Earth    Also, es gibt alle Arten von Bakterien auf der ErdeEs gibt so viele verschiede Bakterien auf der Erde,
but while he was beginning to do his work,        Als er seine Arbeit begann,                       aber als er mit seiner Arbeit anfing,             
and put them between themselves and the person that is interviewing them.und zwischen sich und die Person, die sie befragt, stellen.Ihr neuer Geschäftspartner mag Ihnen die Hand schütteln
save 50,000 dollars on their taxes --             Sie sparen 50.000 Dollar auf ihre Steuern.        jedes Jahr 100.000 Dollar an den Verein zur Hungerbekämpfung zu spenden,
and I'll go through each of these.                Und ich werde jedes von ihnen durchgehen.         auf die ich im Einzelnen eingehen möchte.         
That's what progress is about.                    Das ist, was Fortschritt bedeutet.                Das ist es, worum es beim Fortschritt geht.       
Since we had never been separated,                Da wir nie getrennt waren,                        Weil wir noch nie getrennt gewesen waren          
Robotics had really been about interacting with things,Die Robotik war wirklich über die Interaktion mit Dingen,Bei der Robotertechnik war es immer darum gegangen, mit Dingen zu interagieren,
It isn't some cultic thing. (Laughter)            Es ist keine Kultsache.                           Es ist auch nicht so ein kultisches Ding. (Gelächter)
I'm looking at you, North Carolina.               Ich sehe dich an, North Carolina.                 Ich schaue hierbei dich an, North Carolina.       
are sitting still                                 Sie sitzen still.                                 liegen still da                                   
Again, we think that bacteria invented that,      Wir glauben, dass Bakterien das erfunden haben.   Wie bereits erwähnt, denken wir, dass Bakterien das erfunden haben
you get some synergy of ideas                     Sie bekommen eine synergetische Idee.             und dann bekommen Sie Synergie von Ideen,         
But I just know that nature --                    Aber ich weiß nur, dass die Natur...              und ich möchte keine Architektur so entwerfen.    
learn tools to solve their family conflicts       die Hilfsmittel lernen, um Familienkonflikte zu lösenMethoden erlernen, um Familienkonflikte zu lösen, 
and it's a mistake to try to treat complex psychiatric disordersund es ist ein Fehler, komplexe psychiatrische Störungen zu behandeln.und es ein Fehler ist, komplexe psychische Störungen
how ugly such a regime was                        Wie hässlich ein solches Regime war               wie gräßlich so ein Regime ist                    
that now characterizes all of humanity.           Das ist die eigentliche Eigenschaft der ganzen Menschheit.der nun die ganze Menschheit charakterisiert.     
And that's despite the fact that a supernova is so bright,Und das trotz der Tatsache, dass eine Supernova so hell ist,So, könnten wir jetzt die Lichter wieder einschalten, bitte? Danke.
We have only been discussing and consumed         Wir haben nur gesprochen und konsumiert.          Wir haben uns nur mit kräftezehrenden Diskussionen
So let's start getting into the countries         Also fangen wir an, die Länder zu erreichen       Also schauen wir uns die Länder an,               
\"Hey, you've got to remember to pick up bananas on your way home."Hey, du musst dich daran erinnern, auf dem Weg nach Hause Bananen abzuholen.dass mir diese kleine Stimme sagt:                
I am often so disappointed                        Ich bin oft so enttäuscht.                        Ich bin so oft enttäuscht,                        
He didn't tell. He asked questions.               Er hat es nicht gesagt, er hat Fragen gestellt.   im Kern des Betriebssystems                       
And that potential, that powerful potential,      Und dieses Potenzial, dieses mächtige Potenzial,  Und dieses Potential, dieses mächtige Potential,  
thoughts are bouncing around.                     Die Gedanken springen herum.                      die Gedanken springen umher.                      
If we were to kill the language, we'd have to find an identity.Wenn wir die Sprache töten, müssen wir eine Identität finden.Etwas sehr Einfaches und doch zugleich Kreatives und Überzeugendes.
is after all talk about design, too. This was     Es geht doch auch um Design.                      letztlich auch über Design reden. Also, das hier  
Now, how much computation does the brain do?      Wie viel Rechen macht das Gehirn?                 Also, wieviel Rechenkraft besitzt denn das Gehirn?
something that caused them to wonder              etwas, das sie zum Wunder brachte                 etwas, das sie nachdenklich machen würde,         
Daddy's got you. That's all that's important.     Dad hat dich, das ist alles, was wichtig ist.     Papa hält dich. Das ist alles, was zählt.         
I have a hard time envisioning a future           Ich habe Schwierigkeiten , mir eine Zukunft vorzustellen .Ich kann mir schwer vorstellen,                   
is in the core of our being, right?               ist im Kern unseres Wesens, oder?                 im Kern unsers Seins liegt, oder?                 
in accepting this particular defeat               Wenn man diese Bescheiterung akzeptiert,          zur Akzeptanz dieser bestimmten Niederlage        
I decided to cross during the day,                Ich beschloss, tagsüber zu überqueren.            Ich entschied mich dazu, die Grenze bei Tag zu überqueren.
around these new developments.                    Die Kommission hat sich mit diesen neuen Entwicklungen befasst.mit diesen neuen Entwicklungen.                   
that's the first step towards taking responsibilityDas ist der erste Schritt zur Verantwortung.      ist der erste Schritt dazu, Verantwortung dafür zu übernehmen,
And that’s communication.                         Und das ist Kommunikation.                        Und das ist wahre Kommunikation.                  
that washes out the planet.                       Das verschwindet den Planeten.                    den Strahler abblocke, der mich blendet:          
that Dioscorides first described in 65 A.D.       Die Geschichte von Dioscorides wurde erstmals im Jahr 65 n. Chr. beschrieben.als erstes durch Dioscorides 65 A.D.              
patterns and connections between numbers          Muster und Verbindungen zwischen Zahlen           Muster und Verbindungen zwischen den Zahlen zu sehen,
CA: That's not 30 percent a year, that's -- MS: Yes, thirty percent a year.CA: Das ist nicht 30 Prozent pro Jahr, das ist -- MS: Ja, 30 Prozent pro Jahr.CA: Nicht 30 % im Jahr, das... MS: Doch, 30 % im Jahr.
Well, as best we can tell, there are about two to three million disksNun, so gut wir sagen können, gibt es etwa zwei bis drei Millionen DisksSoweit wir schätzen, sind etwa drei Millionen Platten
to this elegant unification,                      zu dieser eleganten Vereinigung,                  kommt mit einem Preisschild,                      
until you realize that you very much are that woman,bis du feststellst, dass du diese Frau bist.      Als ich älter wurde, akzeptierte ich,             
peer pressure used to help patients --            Peer-Druck, der Patienten hilft --                Gruppenzwang, um Patienten zu helfen,             
lay out in excruciating detail, how to be better than you at checkers?Wie kann ich besser als du bei Schachspielen sein?und bis ins kleinste Detail definieren, wie man sich selbst in Dame übertrifft?
there's a few people from Pakistan in here.       Hier sind ein paar Leute aus Pakistan.            es sind einige Leute aus Pakistan hier.           
to a light continent.\"                           auf einen leichten Kontinent".                    in einen hellen Kontinenten überführen.\"         
Their identity doesn't change.                    Ihre Identität ändert sich nicht.                 Ihre Persönlichkeit ändert sich nicht.            
CNN was saying that Palestinians were dancing in the streets.CNN sagte, dass Palästinenser auf den Straßen tanzten.CNN sagte, die Palästinenser tanzten auf der Straße.
is that if you want mass-market success or mass-market acceptance of an idea,Wenn Sie den Erfolg auf dem Massenmarkt oder die Akzeptanz einer Idee auf dem Massenmarkt wollen,immer fünf Sets der Ausrüstung mitnahmen,         
It's just a reality of anesthesia. The lungs can be paralyzed.Es ist nur eine Wirklichkeit der Anästhesie.      Das ist bei einer Narkose einfach so. Es kann zur Lähmung der Lungen kommen.
Show the state that protecting wilderness         Zeigen Sie dem Staat , dass der Schutz der WildnisDer Sumpf wird Sie verändern, das verspreche ich. 
